input_real_0,input_real_1,input_real_2,input_real_3,input_real_4,input_real_5,input_real_6,input_real_7,input_imag_0,input_imag_1,input_imag_2,input_imag_3,input_imag_4,input_imag_5,input_imag_6,input_imag_7,output_real_0,output_real_1,output_real_2,output_real_3,output_real_4,output_real_5,output_real_6,output_real_7,output_imag_0,output_imag_1,output_imag_2,output_imag_3,output_imag_4,output_imag_5,output_imag_6,output_imag_7
0.7412480355370161,-0.3364734426563951,-0.9987736594066644,-0.4279548216190318,0.6712312193366027,0.9416929554728632,0.04950936553280777,-0.9038001276016188,0.6712312193369097,0.9416929554727239,0.0495093655323942,-0.903800127601796,-0.741248035537294,0.3364734426560052,0.998773659406644,0.42795482161940607,-0.2633204754044203,-2.293151633205966,5.92998428429319,0.59083237233398,1.745816546478782,0.6146042915808454,-1.5209442480352102e-13,0.7027916002001435,1.7805873008849928,0.8216468825400545,5.369849754698523,-2.3631684494038603,-0.43812486221153824,0.6775089694099136,4.197686866325934e-13,-0.10456694011329626
0.6318830716070896,-0.4742543328042702,-0.994861623389062,-0.2871797887294422,0.775063728873945,0.8803878848648033,-0.10124401368770751,-0.9578766981950678,0.7750637288742067,0.880387884864607,-0.10124401368811946,-0.9578766981951867,-0.6318830716074105,0.47425433280390566,0.994861623389104,0.28717978872983885,-0.5280817714597119,-2.3906313409676136,5.055064572853323,0.9394750857791369,1.7918479146742714,0.5057353708563972,-2.134016036848481e-13,0.7105244321808324,1.7207435751709457,0.4674717147019345,6.20050983099642,-2.2474506836982933,-0.17061611742284297,0.7622260645800684,3.920482138306836e-13,0.00230424621983244
0.5081478952909032,-0.601249785281145,-0.9683245583702293,-0.13987374599975078,0.8612698279349293,0.799061133893881,-0.24969491315783754,-0.9901693467179654,0.8612698279351397,0.7990611338936321,-0.2496949131582385,-0.9901693467180234,-0.5081478952912598,0.6012497852808142,0.9683245583703327,0.13987374600016078,-0.7808334924072146,-2.433743584806144,4.0651831623234544,1.2667523645210301,1.7971292829894439,0.3853650742962442,-2.6976744844573723e-13,0.7020985989703155,1.621766896312558,0.1026653587044602,6.890158623483343,-2.080621652159764,0.10077275955747156,0.8296087019632366,3.5548686586338527e-13,0.1091230296521139
0.3728564777873269,-0.7145716840604341,-0.9197659672407885,0.010613289428201236,0.9278890272935347,0.699562226209684,-0.3924672795346356,-0.9999436774576467,0.9278890272936892,0.6995622262093881,-0.3924672795350165,-0.9999436774576422,-0.3728564777877111,0.7145716840601445,0.919765967240951,-0.010613289427787186,-1.0158275875747582,-2.4215079110110063,2.9828518222945517,1.565221306192627,1.7615405431498676,0.2562308493895721,-3.204213511148263e-13,0.6777057199012605,1.485908180596016,-0.2644758011124809,7.423112218351147,-1.866475361502608,0.36986987399117877,0.878124473341664,3.108068735036378e-13,0.21346014965246002
0.22908560100521838,-0.8116428755098141,-0.8502901639140942,0.16085895864454341,0.9734062807542867,0.584153954565535,-0.5263142000274857,-0.9869774037048288,0.9734062807543815,0.5841539545651989,-0.5263142000278378,-0.9869774037047622,-0.22908560100562145,0.8116428755095721,0.8502901639143121,-0.16085895864413474,-1.2277198481866394,-2.354202581873115,1.832684808037485,1.8280941643349429,1.685891050197554,0.1212694518769789,-3.6347879781268237e-13,0.63790053503338,1.3162571113611083,-0.6256022825765092,7.787250246036056,-1.609881902122069,0.6305554501475413,0.9066700386038645,2.5914576768558475e-13,0.3129427833976421
0.0801048857480017,-0.8902557777169794,-0.7614771591456201,0.307446391858661,0.9967864401561818,0.4554609206527735,-0.64819174331297,-0.9515654029720358,0.996786440156215,0.4554609206524049,-0.6481917433132853,-0.9515654029719085,-0.08010488574841444,0.8902557777167908,0.7614771591458885,-0.307446391858267,-1.4116914447319875,-2.233358247474791,0.6408390859796491,2.049392714536923,1.5719012162379564,-0.01644984160596935,-3.981636524559914e-13,0.5835882893086886,1.116671873779424,-0.9725013886321369,7.974291521250071,-1.3166766930672473,0.8769010065322047,0.9145962177663985,2.0152576013423339e-13,0.405308508224638
-0.07069756564227865,-0.9486225850786363,-0.6553467281094694,0.44704191447428454,0.9974977965952176,0.3164098466846029,-0.7553281842721106,-0.8945130109190685,0.9974977965951883,0.3164098466842101,-0.7553281842723819,-0.8945130109188835,0.07069756564186562,0.9486225850785053,0.6553467281097821,-0.44704191447391417,-1.5635585162674581,-2.0617231358141646,-0.5655805251425969,2.224084210544669,1.4221633849928739,-0.15379503467862682,-4.2403135895921597e-13,0.5160041456142112,0.891691412444372,-1.2972839795910953,7.979982372761197,-0.9935277735772748,1.1033041807467105,0.9017227545923765,1.3924578528795933e-13,0.4884567534249794
-0.2198922210985509,-0.9854159263479103,-0.5343124769028851,0.5764708611138728,0.9755241724839645,0.17016301625214736,-0.845287038245311,-0.8171177065068533,0.9755241724838735,0.17016301625173932,-0.8452870382455323,-0.8171177065066146,0.21989222109814693,0.9854159263478399,0.534312476903235,-0.5764708611135344,-1.6798673192515263,-1.8432005529273696,-1.7591377687926786,2.3481958383756396,1.2400828770641774,-0.28764263870163953,-4.4036121026935344e-13,0.43668509478802753,0.6464322072191534,-1.5925638869895742,7.804193379870025,-0.6477841593454158,1.3046161377507914,0.8683424158949172,7.40255088250628e-14,0.5604965711291146
-0.36408611286811926,-0.9997990515751548,-0.40112695259305076,0.6927897735089612,0.9313652894631965,0.020046358009310254,-0.9160224712871994,-0.7211396048767645,0.9313652894630459,0.020046358008896262,-0.9160224712873656,-0.7211396048764777,0.3640861128677336,0.9997990515751466,0.40112695259343006,-0.6927897735086626,-1.757972772218821,-1.5827601143458954,-2.912688902949032,2.418905065616208,1.0298005464918942,-0.41494870680682594,-4.465315466817159e-13,0.34743500159194546,0.3864719148357467,-1.8516258890204766,7.450922315702773,-0.28730871201508357,1.4762586640939843,0.8152143335104003,6.991716030858747e-15,0.6197896400605032
-0.4999999999928301,-0.991444861375142,-0.2588190451072037,0.7933533402871135,0.8660254037887852,-0.13052619220952674,-0.9659258262877063,-0.6087614290144207,0.8660254037885782,-0.13052619220993728,-0.9659258262878135,-0.6087614290140921,0.4999999999924715,0.991444861375196,0.2588190451076037,-0.7933533402868613,-1.7960986099109308,-1.2863247266705335,-3.999999999946433,2.434603831125636,0.7960986099339294,-0.5328180589860118,-4.423969159770392e-13,0.25028358141498636,0.11772252246514514,-2.0685784273290384,6.928203230306437,0.07970067711064635,1.6143282851170095,0.7435467401985176,-6.04427315072922e-14,0.6649875240420762
