attempts,damping,epoch,loss_epoch,loss_step,step
3.0,0.10000001639127731,0,,0.029926210641860962,49
2.0,0.10000001639127731,0,,0.011432413943111897,99
1.0,0.010000001639127731,0,,0.008458993397653103,149
2.0,0.10000001639127731,0,,0.0055303433910012245,199
2.0,0.10000001639127731,0,,0.004011239856481552,249
2.0,0.10000001639127731,0,,0.0034541261848062277,299
2.0,0.10000001639127731,0,,0.0028149420395493507,349
,,0,0.24546730518341064,,379
2.0,0.10000001639127731,1,,0.0023586945608258247,399
3.0,1.0000001192092896,1,,0.00228564883582294,449
2.0,0.10000001639127731,1,,0.0021098973229527473,499
2.0,0.10000001639127731,1,,0.0020228372886776924,549
2.0,0.10000001639127731,1,,0.0018340651877224445,599
2.0,0.10000001639127731,1,,0.0016262303106486797,649
2.0,0.10000001639127731,1,,0.0015307333087548614,699
2.0,0.10000001639127731,1,,0.0013046510284766555,749
,,1,0.0019112154841423035,,759
2.0,1.0000001192092896,2,,0.0013326902408152819,799
3.0,0.10000001639127731,2,,0.0012774227652698755,849
1.0,0.10000001639127731,2,,0.0012330426834523678,899
3.0,1.0000001192092896,2,,0.0009701660601422191,949
2.0,0.10000001639127731,2,,0.0009921537712216377,999
2.0,0.10000001639127731,2,,0.0008492586202919483,1049
2.0,1.0000001192092896,2,,0.0008361721411347389,1099
,,2,0.0010514211608096957,,1139
2.0,1.0000001192092896,3,,0.0007987527060322464,1149
2.0,0.10000001639127731,3,,0.0006775966612622142,1199
2.0,0.10000001639127731,3,,0.0006597789470106363,1249
2.0,0.10000001639127731,3,,0.000709191313944757,1299
1.0,0.10000001639127731,3,,0.0006044135079719126,1349
2.0,0.10000001639127731,3,,0.0005797138437628746,1399
2.0,0.10000001639127731,3,,0.0007182182744145393,1449
2.0,0.10000001639127731,3,,0.0005566992331296206,1499
,,3,0.0006886252667754889,,1519
2.0,1.0000001192092896,4,,0.0006004092283546925,1549
3.0,1.0000001192092896,4,,0.0005345357349142432,1599
2.0,0.10000001639127731,4,,0.0005477576050907373,1649
3.0,1.0000001192092896,4,,0.0005160213331691921,1699
3.0,10.000000953674316,4,,0.000504285329952836,1749
3.0,1.0000001192092896,4,,0.0005163189489394426,1799
3.0,1.0000001192092896,4,,0.0005548361223191023,1849
2.0,1.0000001192092896,4,,0.0004745827754959464,1899
,,4,0.0005237101577222347,,1899
