step,loss_step
49,0.0299262106418609
99,0.0114324139431118
149,0.0084589933976531
199,0.0055303433910012
249,0.0040112398564815
299,0.0034541261848062
349,0.0028149420395493
399,0.0023586945608258
449,0.0022856488358229
499,0.0021098973229527
549,0.0020228372886776
599,0.0018340651877224
649,0.0016262303106486
699,0.0015307333087548
749,0.0013046510284766
799,0.0013326902408152
849,0.0012774227652698
899,0.0012330426834523
949,0.0009701660601422
999,0.0009921537712216
1049,0.0008492586202919
1099,0.0008361721411347
1149,0.0007987527060322
1199,0.0006775966612622
1249,0.0006597789470106
1299,0.0007091913139447
1349,0.0006044135079719
1399,0.0005797138437628
1449,0.0007182182744145
1499,0.0005566992331296
1549,0.0006004092283546
1599,0.0005345357349142
1649,0.0005477576050907
1699,0.0005160213331691
1749,0.0005042853299528
1799,0.0005163189489394
1849,0.0005548361223191
1899,0.0004745827754959
